sub_task_id,sub_task,motivation_score,motivation_bin
835,Knit a sweater using a pattern.,30.1,4
1289,Explain why hash-based searching is more efficient than linear searching for large datasets.,92.5,10
96,Type out the lyrics to 100 songs from different genres.,22.5,3
624,Run a marathon.,30.7,4
733,Write a letter to your future self describing a typical day in your life.,74.0,8
85,"Count from 1 to 1,000 in Japanese.",53.7,6
7,"Memorize and perform Macbeth's 'Is this a dagger which I see before me' soliloquy from Act 2, Scene 1.",57.5,7
817,Create a blog using a website builder and customize the design.,71.5,8
623,Compete in a tennis tournament.,33.7,4
288,Describe each grain of sand on a beach.,8.6,1
599,Conduct a physical examination.,20.5,3
793,Write a biography of an interesting ancestor.,81.0,9
133,Type out the entire text of a children's book from memory.,19.7,3
660,Handle returns and exchanges in a store.,68.0,8
515,Develop a conspiracy theory and write an article about it.,27.8,3
