sub_task_id,task_id,category,task,sub_task
1,1,"['Programming and Technology', 'Mathematics and Numbers']",Writing a computer program to solve a difficult mathematical problem.,Write a Python program to solve the quadratic equation ax^2 + bx + c = 0.
2,1,"['Programming and Technology', 'Mathematics and Numbers']",Writing a computer program to solve a difficult mathematical problem.,Develop a program to calculate the greatest common divisor (GCD) of two numbers.
3,1,"['Programming and Technology', 'Mathematics and Numbers']",Writing a computer program to solve a difficult mathematical problem.,Create a script to find the first 100 prime numbers.
4,1,"['Programming and Technology', 'Mathematics and Numbers']",Writing a computer program to solve a difficult mathematical problem.,Write a program that generates the Fibonacci sequence up to the nth number.
5,1,"['Programming and Technology', 'Mathematics and Numbers']",Writing a computer program to solve a difficult mathematical problem.,Develop a program to solve a system of linear equations using matrix operations.
6,2,['Repetitive or Exhaustive'],Memorizing and reciting a Shakespearean soliloquy in its original language.,"Memorize and recite Hamlet's 'To be, or not to be' soliloquy from Act 3, Scene 1."
7,2,['Repetitive or Exhaustive'],Memorizing and reciting a Shakespearean soliloquy in its original language.,"Memorize and perform Macbeth's 'Is this a dagger which I see before me' soliloquy from Act 2, Scene 1."
8,2,['Repetitive or Exhaustive'],Memorizing and reciting a Shakespearean soliloquy in its original language.,"Recite Juliet's 'O Romeo, Romeo, wherefore art thou Romeo?' speech from Act 2, Scene 2 of Romeo and Juliet."
9,2,['Repetitive or Exhaustive'],Memorizing and reciting a Shakespearean soliloquy in its original language.,"Memorize and deliver Prospero's 'Our revels now are ended' speech from Act 4, Scene 1 of The Tempest."
10,2,['Repetitive or Exhaustive'],Memorizing and reciting a Shakespearean soliloquy in its original language.,"Recite Mark Antony's 'Friends, Romans, countrymen, lend me your ears' speech from Act 3, Scene 2 of Julius Caesar."
11,3,['Puzzles and Logic'],Creating a puzzle with a unique solution that stumps experts.,Design a 5x5 logic grid puzzle with a unique solution.
12,3,['Puzzles and Logic'],Creating a puzzle with a unique solution that stumps experts.,Create a crossword puzzle with a hidden message revealed by the shaded squares.
13,3,['Puzzles and Logic'],Creating a puzzle with a unique solution that stumps experts.,Develop a Sudoku variant with an additional constraint beyond the standard rules.
14,3,['Puzzles and Logic'],Creating a puzzle with a unique solution that stumps experts.,Create a maze puzzle with multiple false exits but only one true exit.
15,3,['Puzzles and Logic'],Creating a puzzle with a unique solution that stumps experts.,Design a cryptarithm (a mathematical puzzle where digits are replaced by letters) with a unique solution.
16,4,['Scientific and Experimental'],Designing and constructing a working model of a perpetual motion machine.,Design a theoretical model of a perpetual motion machine based on existing physical principles.
17,4,['Scientific and Experimental'],Designing and constructing a working model of a perpetual motion machine.,Create detailed schematics and explain how your perpetual motion machine would work.
18,4,['Scientific and Experimental'],Designing and constructing a working model of a perpetual motion machine.,Write a research paper on the historical attempts at creating perpetual motion machines and why they failed.
19,4,['Scientific and Experimental'],Designing and constructing a working model of a perpetual motion machine.,Propose a novel approach to achieving perpetual motion and discuss its feasibility.
20,4,['Scientific and Experimental'],Designing and constructing a working model of a perpetual motion machine.,Design a simulation in software to demonstrate the concept of a perpetual motion machine.
21,5,"['Design and Art', 'Puzzles and Logic']",Developing a new board game with innovative mechanics.,Develop a new board game with a unique mechanic involving card drafting.
22,5,"['Design and Art', 'Puzzles and Logic']",Developing a new board game with innovative mechanics.,Create a rulebook for a board game that combines elements of strategy and chance.
23,5,"['Design and Art', 'Puzzles and Logic']",Developing a new board game with innovative mechanics.,Design the game board and pieces for a new board game focused on resource management.
24,5,"['Design and Art', 'Puzzles and Logic']",Developing a new board game with innovative mechanics.,Invent a board game with cooperative mechanics where players work together to achieve a common goal.
25,5,"['Design and Art', 'Puzzles and Logic']",Developing a new board game with innovative mechanics.,Develop a prototype for a board game and playtest it with friends to gather feedback.
26,6,['Language Learning and Translation'],Learning a new language and giving a five-minute speech in that language.,Learn basic conversational phrases in Mandarin and give a five-minute speech about yourself.
27,6,['Language Learning and Translation'],Learning a new language and giving a five-minute speech in that language.,Learn Spanish and prepare a five-minute speech on your favorite hobby.
28,6,['Language Learning and Translation'],Learning a new language and giving a five-minute speech in that language.,Learn French and deliver a five-minute speech on the importance of learning new languages.
29,6,['Language Learning and Translation'],Learning a new language and giving a five-minute speech in that language.,Learn German and give a five-minute speech on the cultural differences between Germany and your country.
30,6,['Language Learning and Translation'],Learning a new language and giving a five-minute speech in that language.,Learn Italian and deliver a five-minute speech about your favorite Italian cuisine.
31,7,['Puzzles and Logic'],Solving a particularly challenging chess problem within a limited time frame.,Solve a chess problem involving a checkmate in three moves.
32,7,['Puzzles and Logic'],Solving a particularly challenging chess problem within a limited time frame.,Find the winning move in a complex middle-game position.
33,7,['Puzzles and Logic'],Solving a particularly challenging chess problem within a limited time frame.,Analyze a famous chess game and identify the turning point.
34,7,['Puzzles and Logic'],Solving a particularly challenging chess problem within a limited time frame.,Solve an endgame puzzle where one side has a material disadvantage.
35,7,['Puzzles and Logic'],Solving a particularly challenging chess problem within a limited time frame.,Calculate the best move in a given position within a 10-minute time limit.
36,8,"['Creative Writing and Literature', 'Puzzles and Logic']",Writing a short story entirely in palindromes.,Write a short story entirely in palindromes about a day in the life of a racecar driver.
37,8,"['Creative Writing and Literature', 'Puzzles and Logic']",Writing a short story entirely in palindromes.,Compose a poem in palindromes about the beauty of nature.
38,8,"['Creative Writing and Literature', 'Puzzles and Logic']",Writing a short story entirely in palindromes.,Create a dialogue between two characters that reads the same forward and backward.
39,8,"['Creative Writing and Literature', 'Puzzles and Logic']",Writing a short story entirely in palindromes.,Write a palindrome story about a detective solving a mysterious case.
40,8,"['Creative Writing and Literature', 'Puzzles and Logic']",Writing a short story entirely in palindromes.,Compose a love letter in palindromes.
41,9,['Programming and Technology'],Developing a new algorithm to improve an existing technological process.,Develop a new sorting algorithm that improves upon the quicksort algorithm.
42,9,['Programming and Technology'],Developing a new algorithm to improve an existing technological process.,Create an algorithm to optimize route planning for delivery trucks.
43,9,['Programming and Technology'],Developing a new algorithm to improve an existing technological process.,Design a machine learning algorithm to enhance image recognition accuracy.
44,9,['Programming and Technology'],Developing a new algorithm to improve an existing technological process.,Develop an algorithm to predict stock market trends based on historical data.
45,9,['Programming and Technology'],Developing a new algorithm to improve an existing technological process.,Create a compression algorithm to reduce the size of large data files.
46,10,['Design and Art'],Constructing a Rube Goldberg machine that accomplishes a simple task in a complex way.,Design a Rube Goldberg machine to turn off a light switch.
47,10,['Design and Art'],Constructing a Rube Goldberg machine that accomplishes a simple task in a complex way.,Create a Rube Goldberg machine to pour a cup of coffee.
48,10,['Design and Art'],Constructing a Rube Goldberg machine that accomplishes a simple task in a complex way.,Build a Rube Goldberg machine that waters a plant.
49,10,['Design and Art'],Constructing a Rube Goldberg machine that accomplishes a simple task in a complex way.,Design a Rube Goldberg machine to pop a balloon.
50,10,['Design and Art'],Constructing a Rube Goldberg machine that accomplishes a simple task in a complex way.,Create a Rube Goldberg machine to press the 'play' button on a music player.
51,11,['Design and Art'],Creating a new recipe that combines unusual ingredients in a delicious way.,Create a recipe combining chocolate and chili peppers in a dessert.
52,11,['Design and Art'],Creating a new recipe that combines unusual ingredients in a delicious way.,Develop a savory dish that uses pineapple and bacon.
53,11,['Design and Art'],Creating a new recipe that combines unusual ingredients in a delicious way.,Invent a vegetarian recipe featuring jackfruit and quinoa.
54,11,['Design and Art'],Creating a new recipe that combines unusual ingredients in a delicious way.,Create a fusion dish combining Italian and Japanese cuisine.
